Step,train_acc1,train_loss,val_acc1,val_loss
0,8.561643836,2.394114164,8.333333333,2.367431296
1,23.8869863,2.192315977,30.90277778,1.846148786
2,37.32876712,1.870611512,25.34722222,1.999486092
3,38.86986301,1.812494898,40.97222222,1.460171693
4,47.34589041,1.734783427,51.04166667,1.29789485
5,49.40068493,1.694299365,39.23611111,1.832223015
6,56.25,1.525739809,45.48611111,1.46780555
7,54.28082192,1.522603032,62.84722222,0.984941302
8,58.81849315,1.465105603,39.23611111,1.524336171
9,58.98972603,1.494004675,62.84722222,1.019929217
10,63.18493151,1.410016284,52.77777778,1.379336255
11,62.41438356,1.409079034,41.31944444,1.725903635
12,65.75342466,1.319174393,59.375,0.95118999
13,63.52739726,1.379961281,68.05555556,0.873523744
14,66.43835616,1.391897367,62.84722222,0.890838479
15,69.26369863,1.285370164,60.06944444,0.952385279
16,67.97945205,1.362018746,55.20833333,1.278492306
17,70.03424658,1.26237147,69.79166667,0.854612472
18,67.97945205,1.274362942,62.84722222,1.03581678
19,65.4109589,1.350697201,64.23611111,0.983876048
20,76.19863014,1.122738192,81.25,0.558839905
21,70.80479452,1.27629283,62.5,1.065731934
22,72.00342466,1.232545188,71.18055556,0.797898905
23,66.35273973,1.411882928,53.125,1.559766054
24,67.55136986,1.422238049,72.91666667,0.766839579
25,75,1.156394154,75.34722222,0.703092426
26,71.91780822,1.28684174,57.63888889,1.276311043
27,75,1.254634457,77.08333333,0.696893046
28,73.11643836,1.266716872,63.19444444,1.091041673
29,73.37328767,1.247231883,85.06944444,0.481256769
30,74.05821918,1.243842702,84.72222222,0.59707684
31,76.62671233,1.248825182,81.59722222,0.589057243
32,82.27739726,1.084478159,66.31944444,1.00373421
33,78.08219178,1.167144102,80.55555556,0.653544542
34,76.02739726,1.237024273,77.77777778,0.685232388
35,81.42123288,1.100687149,85.41666667,0.544827366
36,79.53767123,1.194410625,83.68055556,0.666900148
37,81.07876712,1.113930148,85.06944444,0.567723431
38,79.28082192,1.178823981,82.98611111,0.560408478
39,82.70547945,1.093292263,87.5,0.482378244
40,80.65068493,1.121517601,67.36111111,1.062401882
41,83.73287671,1.146173396,87.5,0.49579241
42,81.67808219,1.209024414,77.43055556,0.786413622
43,87.32876712,1.035309313,86.11111111,0.502826791
44,78.93835616,1.165116891,79.16666667,0.704288979
45,86.04452055,1.00215238,80.20833333,0.664562067
46,85.35958904,1.060006961,87.5,0.48848132
47,85.70205479,1.083903496,84.02777778,0.620608822
48,85.95890411,1.011921493,87.5,0.50023575
49,91.26712329,0.934903253,86.45833333,0.499305218
50,85.10273973,1.010488302,79.86111111,0.682580561
51,85.61643836,1.085703322,93.05555556,0.384230476
52,84.24657534,1.079304928,89.58333333,0.424448248
53,89.7260274,0.899410867,90.97222222,0.388251748
54,88.52739726,0.988817878,78.81944444,0.670452038
55,91.18150685,0.950780206,92.01388889,0.386865463
56,91.78082192,0.989109224,94.44444444,0.356492225
57,92.38013699,0.877825274,93.05555556,0.355840528
58,85.87328767,1.038801698,82.63888889,0.670831717
59,89.98287671,1.010467547,69.79166667,0.957103164
60,88.44178082,1.0087795,90.97222222,0.425304812
61,88.52739726,0.969934519,87.5,0.445737874
62,87.07191781,0.997409055,91.66666667,0.401643537
63,87.92808219,1.04175244,87.84722222,0.518122081
64,87.41438356,1.045724554,88.88888889,0.498008852
65,86.55821918,0.990963032,94.79166667,0.358652399
66,87.32876712,1.01059523,86.11111111,0.564329046
67,91.78082192,0.898061401,93.75,0.320302549
68,85.95890411,1.028483789,93.40277778,0.400564582
69,85.95890411,1.111426056,81.94444444,0.631194253
70,87.67123288,1.031412717,78.47222222,0.88561737
71,91.26712329,0.905366812,89.23611111,0.474637897
72,89.29794521,0.996276846,93.05555556,0.37313665
73,89.04109589,0.981975306,92.70833333,0.427529358
74,88.44178082,0.938527003,95.83333333,0.308781348
75,86.72945205,1.012914797,92.36111111,0.501970668
76,92.46575342,0.844042294,90.97222222,0.370596766
77,92.72260274,0.828557358,95.48611111,0.296008067
78,88.35616438,0.992424115,85.41666667,0.585619671
79,88.52739726,1.076284719,94.44444444,0.390604652
80,89.98287671,1.019315648,84.375,0.586507616
81,82.44863014,1.135494734,95.48611111,0.346971148
82,89.38356164,0.957538808,86.45833333,0.524606326
83,86.47260274,0.974103259,94.09722222,0.396899791
84,87.24315068,1.066065948,93.40277778,0.353283802
85,89.89726027,0.899328461,88.88888889,0.448743748
86,86.64383562,1.042227003,93.05555556,0.397445242
87,90.66780822,0.893558278,94.79166667,0.351470971
88,87.58561644,1.010555524,94.44444444,0.382481318
89,89.64041096,0.939289341,90.625,0.427767831
90,98.03082192,0.589462484,91.66666667,0.370591984
91,98.28767123,0.577357481,95.48611111,0.268789517
92,98.80136986,0.574485747,93.05555556,0.295559798
93,98.80136986,0.556407526,95.48611111,0.248696524
94,98.97260274,0.557514213,95.13888889,0.267027623
95,98.8869863,0.55863605,96.18055556,0.241315701
96,97.7739726,0.576773247,93.05555556,0.282469085
97,98.11643836,0.574384037,82.29166667,0.583722038
98,98.28767123,0.57813166,95.13888889,0.259331775
99,98.71575342,0.564488702,92.36111111,0.323918281
