time_point,original_signal,reconstructed_signal,squared_error
148,-3.1958284,-3.0342171,0.026118219
149,-2.885121,-2.9240487,0.0015153545
150,-2.5376637,-2.563575,0.0006713971
151,-2.1665533,-2.143821,0.00051675556
152,-1.7860606,-1.7763284,9.47143e-05
153,-1.4110034,-1.4792703,0.0046603815
154,-1.0560639,-1.0177988,0.0014642186
155,-0.73508304,-0.7486032,0.0001827953
156,-0.46037146,-0.40283903,0.0033099805
157,-0.2420754,-0.18793426,0.0029312624
158,-0.087638654,-0.18793426,0.01005921
159,-0.001394487,-0.059119567,0.0033321849
160,0.015682723,-0.14541565,0.025952687
161,-0.03395411,-0.059119567,0.0006333002
162,-0.14454582,-0.18793426,0.0018825568
163,-0.3073351,-0.23537384,0.005178424
164,-0.51104707,-0.5888742,0.0060570664
165,-0.7425152,-0.7486032,3.706397e-05
166,-0.98741686,-1.0177988,0.0009230609
167,-1.2310724,-1.2567819,0.0006609789
168,-1.4592595,-1.4792703,0.0004004333
169,-1.6589918,-1.6878885,0.00083501864
170,-1.8192137,-1.7763284,0.0018391493
171,-1.931369,-1.9687723,0.0013990102
172,-1.9898112,-1.9687723,0.0004426349
173,-1.9920342,-1.9687723,0.0005411162
174,-1.9387137,-1.9687723,0.0009035208
175,-1.8335642,-1.7763284,0.0032759274
176,-1.6830285,-1.6878885,2.3620023e-05
177,-1.495827,-1.4792703,0.00027412167
178,-1.2824007,-1.2567819,0.00065632246
179,-1.0542885,-1.0177988,0.0013315
180,-0.8234806,-0.7486032,0.0056066224
181,-0.60178787,-0.65802705,0.0031628462
182,-0.40026286,-0.32393584,0.005825815
183,-0.2287021,-0.18793426,0.0016620163
184,-0.09525146,-0.18793426,0.008590101
185,-0.006126858,-0.059119567,0.0028082272
186,0.034545004,-0.11436401,0.022173895
187,0.02476957,-0.059119567,0.007037388
188,-0.03537848,-0.18793426,0.02327327
189,-0.14390868,-0.18793426,0.0019382521
190,-0.29713982,-0.22571503,0.0051015015
191,-0.48997623,-0.40283903,0.0075928904
192,-0.7162146,-0.7486032,0.0010490232
193,-0.96886194,-1.0177988,0.0023948147
194,-1.2404487,-1.2567819,0.00026677415
195,-1.5233212,-1.5973123,0.0054746945
196,-1.809905,-1.7763284,0.0011273886
197,-2.092931,-2.143821,0.002589789
198,-2.3656192,-2.389228,0.00055738125
199,-2.6218219,-2.652015,0.0009116227
200,-2.8561249,-2.9240487,0.0046136403
201,-3.0639117,-3.0342171,0.0008817667
202,-3.2413926,-3.129676,0.012480578
203,-3.3856084,-3.3965065,0.000118768876
204,-3.4944081,-3.6599953,0.027419116
205,-3.566411,-3.6599953,0.008758021
206,-3.6009562,-3.6599953,0.0034856172
207,-3.5980425,-3.6599953,0.003838153
208,-3.5582652,-3.6599953,0.010349015
209,-3.4827514,-3.4849465,4.818551e-06
210,-3.3730958,-3.3965065,0.0005480654
211,-3.2312996,-3.129676,0.010327343
212,-3.0597131,-3.0342171,0.00065004634
213,-2.860982,-2.9240487,0.0039774114
214,-2.637998,-2.652015,0.00019647255
215,-2.3938568,-2.3200753,0.0054437085
216,-2.1318142,-2.143821,0.00014416227
217,-1.8552518,-1.9687723,0.012886904
218,-1.567642,-1.4792703,0.007809546
219,-1.2725163,-1.2567819,0.00024756868
220,-0.973435,-1.0177988,0.0019681465
221,-0.6739591,-0.65802705,0.00025382938
222,-0.37762114,-0.35385832,0.0005646717
223,-0.08789742,-0.18793426,0.01000737
224,0.19182116,0.22947754,0.0014180031
225,0.4582584,0.39384523,0.004149055
226,0.7082837,0.68125975,0.000730295
227,0.9389446,1.0279547,0.007922801
228,1.1475006,1.0279547,0.014291231
229,1.3314601,1.3996512,0.0046500196
230,1.4886178,1.5761038,0.0076538054
231,1.6170961,1.6941458,0.0059366613
232,1.7153866,1.784722,0.00480739
233,1.7823951,1.784722,5.414213e-06
234,1.8174852,1.784722,0.0010734301
235,1.8205241,1.784722,0.0012817922
236,1.7919261,1.784722,5.1900137e-05
237,1.7326933,1.784722,0.002706981
238,1.6444525,1.784722,0.019675538
239,1.5294838,1.5761038,0.0021734254
240,1.3907413,1.4562002,0.0042848666
241,1.2318603,1.2452627,0.00017962599
242,1.0571475,1.0279547,0.0008522199
243,0.8715551,0.9324957,0.0037137596
244,0.6806298,0.68125975,3.9685148e-07
245,0.49043754,0.39384523,0.009330073
246,0.30745998,0.31926027,0.00013924683
247,0.13846081,0.22947754,0.008284044
248,-0.009678584,-0.18793426,0.031775087
249,-0.13015416,-0.18793426,0.0033385402
250,-0.21646233,-0.18793426,0.00081385043
251,-0.26264733,-0.22571503,0.0013639951
252,-0.26356655,-0.19759308,0.0043524993
253,-0.2151652,-0.18793426,0.00074152375
254,-0.11474896,-0.18793426,0.0053560883
255,0.03875819,0.037865296,7.97257e-07
256,0.24458691,0.31926027,0.00557611
257,0.49994254,0.39384523,0.011256639
258,0.79989,0.7650305,0.0012151833
259,1.1373204,1.0279547,0.011960857
260,1.5030158,1.5761038,0.0053418633
261,1.8858236,1.784722,0.010221541
262,2.2729504,2.3316658,0.0034474917
263,2.650375,2.5918891,0.0034205825
264,3.0033784,2.9805915,0.0005192408
265,3.317176,3.339669,0.00050592993
266,3.5776267,3.5474937,0.00090799824
267,3.771991,3.6372764,0.018148024
268,3.8896952,3.6372764,0.06371523
269,3.923054,3.6372764,0.08166882
270,3.867901,3.6372764,0.053187743
271,3.7240748,3.6372764,0.0075339675
272,3.4957078,3.5474937,0.002681784
273,3.1912816,3.0986335,0.008583657
274,2.8234153,2.9114387,0.0077481233
275,2.4083734,2.4154365,4.9888095e-05
276,1.965306,1.784722,0.032610606
277,1.5152442,1.5761038,0.0037038862
278,1.0799078,1.0279547,0.0026991223
279,0.6803941,0.68125975,7.493296e-07
280,0.33584017,0.31926027,0.00027489295
281,0.062153623,0.15590729,0.00878975
282,-0.12908417,-0.18793426,0.0034633337
283,-0.23144986,-0.18793426,0.0018936069
284,-0.24416687,-0.18793426,0.0031621056
285,-0.17219803,-0.18793426,0.00024762916
286,-0.025920397,-0.059119567,0.0011021848
287,0.1796041,0.31926027,0.019503847
288,0.42571318,0.39384523,0.0010155663
289,0.6915022,0.68125975,0.00010490803
290,0.9553478,1.0279547,0.005271765
291,1.1964743,1.1706778,0.0006654611
292,1.3964349,1.4894339,0.008648811
293,1.5403867,1.5761038,0.0012757133
294,1.6180615,1.6941458,0.005788814
295,1.624358,1.6941458,0.0048703286
296,1.5595226,1.5761038,0.00027493545
297,1.4289179,1.4894339,0.0036621862
298,1.2424194,1.2452627,8.084809e-06
299,1.0135082,1.0279547,0.00020870127
