time_point,original_signal,reconstructed_signal,squared_error
151,-2.1665533,-1.8591465,0.09449893
152,-1.7860606,-1.8591465,0.0053415494
153,-1.4110034,-1.2705234,0.019734608
154,-1.0560639,-1.2705234,0.045992892
155,-0.73508304,-0.47523534,0.06752083
156,-0.46037146,-0.200333,0.06762
157,-0.2420754,-0.47523534,0.05436356
158,-0.087638654,0.03318751,0.014598962
159,-0.001394487,0.03318751,0.0011959145
160,0.015682723,0.03318751,0.0003064175
161,-0.03395411,0.03318751,0.0045079975
162,-0.14454582,0.03318751,0.031589136
163,-0.3073351,-0.70875585,0.16113861
164,-0.51104707,0.03318751,0.29619128
165,-0.7425152,-0.99659765,0.06455789
166,-0.98741686,-1.2705234,0.08014933
167,-1.2310724,-1.2705234,0.0015563817
168,-1.4592595,-1.8591465,0.15990959
169,-1.6589918,-1.2705234,0.15090768
170,-1.8192137,-1.8591465,0.0015946227
171,-1.931369,-1.8591465,0.0052160854
172,-1.9898112,-1.8591465,0.017073266
173,-1.9920342,-1.8591465,0.017659146
174,-1.9387137,-1.8591465,0.0063309385
175,-1.8335642,-1.8591465,0.00065445475
176,-1.6830285,-1.2705234,0.1701604
177,-1.495827,-1.8591465,0.13200107
178,-1.2824007,-1.2705234,0.00014107021
179,-1.0542885,-0.99659765,0.0033282351
180,-0.8234806,-0.47523534,0.12127476
181,-0.60178787,-0.70875585,0.01144215
182,-0.40026286,0.03318751,0.18787922
183,-0.2287021,-0.47523534,0.06077864
184,-0.09525146,0.03318751,0.01649657
185,-0.006126858,0.03318751,0.0015456195
186,0.034545004,0.03318751,1.8427949e-06
187,0.02476957,0.03318751,7.086168e-05
188,-0.03537848,0.03318751,0.0047012945
189,-0.14390868,0.03318751,0.03136306
190,-0.29713982,-0.70875585,0.16942775
191,-0.48997623,0.03318751,0.2737003
192,-0.7162146,-0.70875585,5.56329e-05
193,-0.96886194,-1.2705234,0.090999655
194,-1.2404487,-1.2705234,0.0009044885
195,-1.5233212,-1.8591465,0.11277865
196,-1.809905,-1.8591465,0.0024247179
197,-2.092931,-1.8591465,0.05465522
198,-2.3656192,-2.9254308,0.31338903
199,-2.6218219,-2.9254308,0.09217836
200,-2.8561249,-2.9254308,0.0048033074
201,-3.0639117,-2.9254308,0.01917696
202,-3.2413926,-2.9254308,0.09983189
203,-3.3856084,-2.9254308,0.21176347
204,-3.4944081,-2.9254308,0.32373524
205,-3.566411,-2.9254308,0.41085568
206,-3.6009562,-2.9254308,0.4563346
207,-3.5980425,-2.9254308,0.45240653
208,-3.5582652,-2.9254308,0.40047944
209,-3.4827514,-2.9254308,0.31060624
210,-3.3730958,-2.9254308,0.20040393
211,-3.2312996,-2.9254308,0.09355576
212,-3.0597131,-2.9254308,0.01803175
213,-2.860982,-2.9254308,0.004153652
214,-2.637998,-2.9254308,0.08261754
215,-2.3938568,-2.9254308,0.28257093
216,-2.1318142,-1.8591465,0.07434771
217,-1.8552518,-1.8591465,1.51685845e-05
218,-1.567642,-1.2705234,0.088279426
219,-1.2725163,-1.2705234,3.971338e-06
220,-0.973435,-0.99659765,0.000536509
221,-0.6739591,-0.47523534,0.03949112
222,-0.37762114,-0.200333,0.031431086
223,-0.08789742,0.03318751,0.01466156
224,0.19182116,0.03318751,0.025164634
225,0.4582584,0.66349757,0.04212312
226,0.7082837,0.66349757,0.0020057997
227,0.9389446,1.1092983,0.029020406
228,1.1475006,1.4643399,0.10038709
229,1.3314601,1.1092983,0.049355853
230,1.4886178,1.4643399,0.00058941764
231,1.6170961,1.8820645,0.07020825
232,1.7153866,1.4643399,0.06302448
233,1.7823951,1.8820645,0.009933976
234,1.8174852,1.4643399,0.12471165
235,1.8205241,1.8820645,0.0037872165
236,1.7919261,1.4643399,0.107312776
237,1.7326933,1.8820645,0.02231174
238,1.6444525,1.4643399,0.03244055
239,1.5294838,1.4643399,0.0042437334
240,1.3907413,1.1092983,0.07921016
241,1.2318603,1.4643399,0.05404675
242,1.0571475,1.1092983,0.0027197106
243,0.8715551,0.66349757,0.043287933
244,0.6806298,0.66349757,0.00029351306
245,0.49043754,0.66349757,0.029949773
246,0.30745998,0.03318751,0.07522539
247,0.13846081,0.03318751,0.0110824695
248,-0.009678584,0.03318751,0.0018375019
249,-0.13015416,0.03318751,0.026680501
250,-0.21646233,-0.47523534,0.06696348
251,-0.26264733,-0.200333,0.003883076
252,-0.26356655,-0.47523534,0.044803675
253,-0.2151652,0.03318751,0.061679065
254,-0.11474896,0.03318751,0.021885198
255,0.03875819,0.03318751,3.1032476e-05
256,0.24458691,0.03318751,0.044689707
257,0.49994254,0.66349757,0.026750246
258,0.79989,1.1092983,0.09573354
259,1.1373204,1.4643399,0.10694172
260,1.5030158,1.4643399,0.0014958256
261,1.8858236,1.8820645,1.4131177e-05
262,2.2729504,2.9351192,0.43846744
263,2.650375,2.9351192,0.0810793
264,3.0033784,2.9351192,0.004659324
265,3.317176,2.9351192,0.14596751
266,3.5776267,2.9351192,0.41281596
267,3.771991,2.9351192,0.7003545
268,3.8896952,2.9351192,0.91121536
269,3.923054,2.9351192,0.9760152
270,3.867901,2.9351192,0.87008214
271,3.7240748,2.9351192,0.62245107
272,3.4957078,2.9351192,0.3142596
273,3.1912816,2.9351192,0.06561918
274,2.8234153,2.9351192,0.012477756
275,2.4083734,2.9351192,0.27746114
276,1.965306,1.8820645,0.006929161
277,1.5152442,1.4643399,0.0025912572
278,1.0799078,1.1092983,0.0008638058
279,0.6803941,0.66349757,0.00028549327
280,0.33584017,0.03318751,0.09159863
281,0.062153623,0.03318751,0.0008390358
282,-0.12908417,0.03318751,0.026332097
283,-0.23144986,-0.47523534,0.059431363
284,-0.24416687,-0.200333,0.0019214079
