Step,train_loss,val_acc1,val_loss
0,6.527697927,7.204,5.305056085
1,5.724559829,22.03,3.980450381
2,5.174629202,30.66,3.408912994
3,4.932437365,36.882,2.978598724
4,4.794667309,39.452,2.839759264
5,4.662744138,43.988,2.60200988
6,4.535509644,46.646,2.506783438
7,4.432906552,47.588,2.422821374
8,4.347293389,50.414,2.265385867
9,4.309891213,51.504,2.204573506
10,4.245062818,51.496,2.248571467
11,4.202459683,52.752,2.160038365
12,4.173980565,54.026,2.097298879
13,4.124138259,54.082,2.146549412
14,4.095616431,55.572,2.045677781
15,4.082866369,56.46,1.954329716
16,4.050442601,56.006,1.974387839
17,4.032296404,56.696,2.03259088
18,4.000193848,56.49,1.982022806
19,3.983235053,57.889,1.886567188
20,3.992876899,57.258,1.922615737
21,3.966233874,57.842,1.921343617
22,3.946827069,57.728,1.916542125
23,3.931868836,58.356,1.832950484
24,3.92980299,58.526,1.891419601
25,3.918972252,58.564,1.845655096
26,3.91180939,59.04,1.879257902
27,3.883749264,59.59,1.826602451
28,3.894640927,59.702,1.823725644
29,3.885613476,59.792,1.812776609
30,3.872124263,59.994,1.798943013
31,3.852632498,60.046,1.782779264
32,3.859670764,60.424,1.789123021
33,3.833980394,60.366,1.775196099
34,3.837148397,59.94,1.847289912
35,3.830111045,61.088,1.719319161
36,3.826176241,60.846,1.774900411
37,3.814754959,60.886,1.740588016
38,3.806590139,61.52,1.716873208
39,3.809745745,60.66,1.788553473
40,3.79903787,60.806,1.767503182
41,3.800308891,61.93,1.726424888
42,3.789399786,61.73,1.722513813
43,3.77972609,61.29,1.70831488
44,3.778122148,61.464,1.734456595
45,3.76795037,61.54,1.727080985
46,3.776114144,62.614,1.681577943
47,3.762640428,62.31,1.655914314
48,3.758067981,62.072,1.746229895
49,3.749383603,62.52,1.66725188
50,3.746383273,62.292,1.712165767
51,3.739278961,62.264,1.685735603
52,3.738653949,62.238,1.723860035
53,3.728773477,62.964,1.711432721
54,3.716966819,63.172,1.65342688
55,3.721897318,63.23,1.658391936
56,3.715234834,62.822,1.64793351
57,3.703510722,63.78,1.618865398
58,3.69273968,62.87,1.636110984
59,3.705347186,63.014,1.643325581
60,3.698167995,63.132,1.672719671
61,3.683875841,63.618,1.64402006
62,3.678435215,63.718,1.615122947
63,3.67636706,63.956,1.633377864
64,3.657330518,63.666,1.616602466
65,3.657700911,64.16,1.590032456
66,3.669119765,64.122,1.640409831
67,3.66010681,64.2,1.601026531
68,3.660627227,63.916,1.676576015
69,3.633198742,64.26,1.610103963
70,3.632731529,65.216,1.533364074
71,3.63417424,64.532,1.625261746
72,3.63270695,64.234,1.662701043
73,3.622691653,64.866,1.549201809
74,3.606918387,65.024,1.551786956
75,3.59913613,65.024,1.580877693
76,3.599333768,64.926,1.586667156
77,3.597706138,65.82,1.522766722
78,3.598418254,65.298,1.562748501
79,3.584063958,65.742,1.545410923
80,3.574076742,65.22,1.581000797
81,3.574853558,65.536,1.554103644
82,3.56807032,65.898,1.542874743
83,3.564118999,66.02,1.515463564
84,3.549784925,66.526,1.479521844
85,3.547276859,66.236,1.549639153
86,3.549986975,66.642,1.503030136
87,3.535407019,66.258,1.53695304
88,3.529487535,66.546,1.556840738
89,3.514164839,66.206,1.547986224
90,3.520023093,66.826,1.469847315
91,3.501876703,66.29,1.529644747
92,3.501583736,66.606,1.489360903
93,3.497101165,66.978,1.508561699
94,3.484843459,66.854,1.440795403
95,3.478956607,66.87,1.473112936
96,3.460622113,67.28,1.47853459
97,3.475039505,67.398,1.462059005
98,3.46552887,67.508,1.483657034
99,3.442043385,67.592,1.450047744
100,3.447281976,67.996,1.492687217
101,3.433503526,67.986,1.435807107
102,3.421305459,68.018,1.432141206
103,3.427661415,67.866,1.484043916
104,3.430455389,68.372,1.423727239
105,3.411588561,68.306,1.456123635
106,3.40201304,68.578,1.368480018
107,3.403260751,68.25,1.455467455
108,3.384925455,68.596,1.428092764
109,3.373039145,68.72,1.441899019
110,3.370233585,69.234,1.371591041
111,3.363076483,68.668,1.415840345
112,3.352632123,68.978,1.403728244
113,3.339353552,69.232,1.360464565
114,3.335191809,69.414,1.361895275
115,3.33906163,69.636,1.380292795
116,3.322432378,69.876,1.398814595
117,3.313365983,70.076,1.338203047
118,3.305013166,69.762,1.371986898
119,3.280339193,69.686,1.33426177
120,3.288411144,70.312,1.342853063
121,3.277577744,70.636,1.312534644
122,3.266190794,70.444,1.371952556
123,3.260857051,70.756,1.306693437
124,3.249682565,70.636,1.296571143
125,3.242576832,71.124,1.335683157
126,3.224059306,71.134,1.304061594
127,3.220087782,70.862,1.296014838
128,3.21963149,71.026,1.320280479
129,3.203362887,71.192,1.279231642
130,3.197444803,71.44,1.311976903
131,3.186555919,71.856,1.295447874
132,3.181021828,71.93,1.30750787
133,3.179001322,72.572,1.231378656
134,3.158606857,72.08,1.25213757
135,3.151969661,72.396,1.305863462
136,3.137800183,72.31,1.227632553
137,3.128586281,72.4,1.242640283
138,3.113163072,72.688,1.20417482
139,3.100280341,72.842,1.213601301
140,3.101260677,72.814,1.209478765
141,3.092638728,73.18,1.212544471
142,3.083809507,73.044,1.174354936
