Step,train_loss,val_acc1,val_loss
0,6.64984318,4.582,5.667334962
1,5.949559948,16.822,4.37852144
2,5.436996655,25.726,3.702392349
3,5.166635557,32.372,3.26959956
4,5.003034972,34.424,3.110987097
5,4.869461462,39.288,2.888129185
6,4.742708424,41.844,2.699859269
7,4.651891148,43.87,2.602927272
8,4.580113663,45.792,2.482810901
9,4.533621128,46.254,2.488770283
10,4.491112264,46.822,2.466265434
11,4.455678422,47.71,2.409218036
12,4.418290125,49.074,2.322558515
13,4.393713048,48.73,2.357962808
14,4.379389525,49.794,2.298624186
15,4.36463187,50.866,2.238158604
16,4.333370412,50.324,2.292134314
17,4.315904992,51.108,2.219675606
18,4.297948316,51.684,2.183440714
19,4.282918026,51.662,2.202632316
20,4.281906161,51.322,2.231938345
21,4.271440834,52.332,2.142643942
22,4.252695524,52.444,2.166869181
23,4.253561541,51.502,2.186595947
24,4.24865591,52.824,2.133712063
25,4.235935901,53.562,2.099096219
26,4.227070444,51.664,2.193762961
27,4.219634685,52.584,2.196348412
28,4.205887114,52.608,2.158243374
29,4.194704121,53.814,2.111374678
30,4.1936534,53.592,2.109811533
31,4.192279246,53.064,2.122734417
32,4.18498015,54.28,2.044377186
33,4.186163046,54.268,2.064268964
34,4.180804412,53.542,2.123679052
35,4.180617775,54.522,2.097733074
36,4.160971139,54.542,2.055773
37,4.160179144,54.458,2.07336831
38,4.152370145,53.364,2.143662158
39,4.143911936,54.91,2.024989438
40,4.145920055,55.28,2.05347995
41,4.134496479,55.8,2.011161835
42,4.122032459,54.778,2.067543097
43,4.12553109,55.586,2.009991373
44,4.125719085,55.356,2.014117651
45,4.123484304,55.67,2.017359313
46,4.12262932,56.496,1.960996503
47,4.097964644,56.53,2.008729825
48,4.100603559,56.052,1.961606384
49,4.112616758,56.416,1.958700743
50,4.097556182,56.848,1.930597704
51,4.089725368,56.476,1.957601168
52,4.091983996,56.178,1.99228948
53,4.073704099,55.994,1.951796952
54,4.068804028,55.872,2.024749647
55,4.067526019,56.664,1.990841134
56,4.065856442,56.208,1.984314935
57,4.059597395,56.254,1.998554108
58,4.063358854,56.992,1.988500967
59,4.047086614,57.46,1.954657224
60,4.050015187,56.576,1.997766712
61,4.042955894,56.488,1.9585698
62,4.034168653,57.052,1.930012464
63,4.030204975,57.468,1.953003411
64,4.028951694,57.446,1.922664959
65,4.018254914,57.686,1.915193607
66,4.024192924,58.604,1.857307043
67,4.015519158,58.034,1.978593284
68,4.003277708,58.13,1.887917313
69,3.991502391,57.562,1.926190504
70,4.001293486,58.618,1.89881091
71,3.998304775,58.234,1.85721647
72,3.984033031,58.732,1.830489206
73,3.981741488,58.496,1.847697644
74,3.972617602,59.246,1.808884024
75,3.96920503,58.83,1.871041021
76,3.971947366,58.356,1.877541655
77,3.973739819,59.274,1.870746053
78,3.955872204,59.068,1.847163544
79,3.949965092,59.598,1.793317491
80,3.944985372,59.368,1.835698122
81,3.938730778,59.186,1.844511396
82,3.924208974,59.31,1.844429708
83,3.933889276,59.662,1.833417051
84,3.912689944,59.75,1.798639883
85,3.905223544,60.154,1.769481502
86,3.909565032,59.964,1.82726908
87,3.9062647,59.74,1.799556758
88,3.882807164,60.992,1.73547243
89,3.899022931,60.782,1.761412017
90,3.879078517,60.702,1.7848371
91,3.873043024,60.024,1.780346314
92,3.870911899,60.894,1.716306447
93,3.864828346,61.458,1.724362964
94,3.845646373,61.082,1.745050401
95,3.851766302,61.16,1.767414557
96,3.84566345,61.17,1.765117845
97,3.829994442,61.118,1.796941422
98,3.828338934,61.404,1.741111944
99,3.822550633,61.794,1.702113534
100,3.809262858,62.186,1.687941658
101,3.808948472,62.148,1.724759956
102,3.795465488,62.186,1.697721276
103,3.80662549,62.676,1.664587553
104,3.786006939,62.392,1.713901871
105,3.777264692,61.962,1.730498302
106,3.772026095,62.682,1.695654914
107,3.765741686,62.864,1.670177639
108,3.754727929,63.136,1.635836123
109,3.753637781,63.072,1.660846722
110,3.740455148,63.616,1.648117215
111,3.733661935,63.14,1.657101554
112,3.719445831,63.826,1.618946971
113,3.72058429,63.678,1.627074069
114,3.723508521,63.788,1.64574755
