Step,train_loss,val_acc1,val_loss
162,2.60756521,80.326,0.985915348
163,2.60779937,80.331,0.995004564
164,2.584303265,80.309,0.943065808
165,2.584145584,80.621,0.978294754
166,2.568969442,80.549,0.948096223
167,2.553653321,80.6,0.939518337
168,2.54582137,81.013,0.943953145
169,2.540337399,80.911,0.933229
170,2.532600759,81.072,0.929387462
171,2.510179889,81.09,0.946857663
172,2.509468192,81.145,0.95060513
173,2.493957532,81.214,0.946864109
174,2.479905999,81.298,0.949890163
175,2.469971401,81.315,0.93397156
176,2.470470139,81.68,0.932397855
177,2.462383278,81.445,0.95342676
178,2.447221064,81.428,0.960116996
179,2.436488072,81.582,0.93612622
180,2.435283266,81.846,0.896930295
181,2.426744218,81.81,0.954374655
182,2.41522048,81.893,0.904411511
183,2.409515329,81.757,0.951538995
184,2.40853022,81.927,0.938343386
185,2.400281943,81.867,0.893998742
186,2.399604153,82.135,0.920055721
187,2.387942702,82.071,0.909867171
188,2.379360349,82.16,0.906458593
189,2.386046895,82.202,0.925102056
190,2.375235841,82.181,0.889848512
191,2.37417483,82.29,0.923364175
192,2.365160825,82.281,0.957254067
193,2.364817367,82.135,0.92767424
194,2.364068386,82.163,0.933110653
195,2.366784979,82.36,0.89418047
196,2.350858759,82.296,0.93130363
197,2.358338852,82.142,0.996278907
198,2.360412928,82.391,0.971565977
199,2.347557494,82.271,0.918561181
