Step,train_loss,val_acc1,val_loss
0,6.40502337,8.21,5.151689371
1,5.460498491,22.448,3.871403266
2,4.881855957,34.256,3.124858955
3,4.55225437,40.344,2.794215089
4,4.368891728,42.93,2.621345915
5,4.242877931,46.524,2.428589624
6,4.112429139,47.286,2.424095417
7,4.040571131,50.552,2.247570515
8,3.980802292,52.58,2.127646266
9,3.933209343,52.52,2.174683304
10,3.8845213,53.464,2.099653425
11,3.853900342,54.436,2.050905481
12,3.815688734,54.698,2.037770114
13,3.8021879,55.066,2.056983553
14,3.778587337,55.912,1.950963475
15,3.767177451,56.678,1.942395991
16,3.751032593,56.494,1.946760639
17,3.727693929,57.116,1.901057839
18,3.71931293,57.14,1.875256042
19,3.702267145,57.724,1.880602085
20,3.685939646,57.444,1.896441945
21,3.684570068,58.094,1.861080014
22,3.668321222,58.322,1.844742279
23,3.664730204,58.706,1.824019911
24,3.646273975,58.364,1.842849086
25,3.639080507,58.558,1.885498431
26,3.641266088,58.1,1.873092252
27,3.630306212,59.312,1.792199125
28,3.608507802,59.296,1.798104362
29,3.609352415,59.374,1.78385554
30,3.60764322,59.898,1.7651447
31,3.595329859,60.266,1.759820327
32,3.594620119,60.222,1.727672846
33,3.59445149,59.754,1.773093926
34,3.579355638,59.942,1.755033951
35,3.581340683,59.828,1.76100838
36,3.572790155,60.73,1.723782712
37,3.567334285,60.154,1.753158759
38,3.565398048,60.624,1.736136829
39,3.559402672,60.044,1.748186322
40,3.561121504,60.376,1.76137096
41,3.553336619,60.97,1.722057659
42,3.550032853,60.726,1.728841655
43,3.542853729,60.44,1.775191972
44,3.540004668,60.958,1.690949988
45,3.535594475,60.834,1.712926242
46,3.533041488,61.118,1.722151259
47,3.524802485,60.912,1.725425973
48,3.513959596,61.292,1.726649714
49,3.508479033,60.938,1.731572996
50,3.51703374,61.052,1.717059504
51,3.509434156,61.538,1.687791541
52,3.498118939,61.592,1.712906344
53,3.493542426,61.638,1.704418911
54,3.494221029,61.594,1.679254692
55,3.494676634,62.322,1.648206555
56,3.487031319,62.398,1.636959659
57,3.485701333,62.136,1.673406441
58,3.482301406,62.714,1.633475183
59,3.475152615,62.034,1.650971128
60,3.468807406,62.646,1.637437397
61,3.464214744,62.87,1.628680092
62,3.458841939,62.806,1.629777515
63,3.458447592,62.476,1.655179595
64,3.456826706,62.216,1.670076077
65,3.446081662,63.048,1.607607447
66,3.449853786,62.788,1.628144797
67,3.432600401,62.32,1.653279136
68,3.429759842,63.488,1.599749865
69,3.437588075,63.104,1.603469173
70,3.426945514,63.368,1.631413094
71,3.428566348,63.136,1.635454969
72,3.424841211,63.356,1.610937913
73,3.411246945,63.454,1.575201892
74,3.412229725,63.22,1.598270749
75,3.40338274,63.494,1.609012648
76,3.398732246,63.294,1.598390607
77,3.385128573,63.88,1.584766598
78,3.391244757,63.688,1.581090125
79,3.382249601,64.082,1.557001545
80,3.376528569,63.88,1.57539941
81,3.370459914,64.404,1.571267655
82,3.373537191,64.378,1.548807757
83,3.371321132,64.836,1.521121755
84,3.359155031,64.574,1.52615582
85,3.346824069,64.98,1.530146841
86,3.349837417,64.638,1.531563891
87,3.345093825,64.958,1.526641516
88,3.339919506,65.428,1.502671228
89,3.332927924,64.952,1.546007023
90,3.326640615,65.026,1.537819658
91,3.325716613,64.878,1.575777751
92,3.321112766,65.162,1.528064647
93,3.313689955,64.702,1.519726623
94,3.307153318,65.6,1.496001935
95,3.298861834,65.91,1.499873119
96,3.295389664,65.696,1.505900155
97,3.288963681,65.982,1.485678078
98,3.283212366,66.302,1.46896568
99,3.280374445,66.39,1.480531743
100,3.267620691,66.378,1.464558181
101,3.265747241,66.088,1.509010972
102,3.254684561,66.634,1.453263718
103,3.256947875,66.344,1.487499611
104,3.247151614,66.536,1.475798807
105,3.242888498,66.42,1.458432662
106,3.230251793,66.904,1.449069143
107,3.225646952,66.622,1.467777789
108,3.232735147,66.528,1.497239092
109,3.215183591,66.96,1.446957969
110,3.211033278,67.286,1.449391289
111,3.204906456,67.002,1.431614221
112,3.199571894,67.9,1.384184651
113,3.197761854,67.836,1.399974234
114,3.179490802,67.532,1.396463011
115,3.177832287,68.02,1.387099872
116,3.173975298,67.992,1.405632782
117,3.162544941,68.288,1.38022759
118,3.149726941,68.054,1.433867753
119,3.143351341,68.194,1.372496313
120,3.142651282,68.2,1.390804218
121,3.128103985,68.862,1.372957794
122,3.122870572,68.246,1.39158777
123,3.12390442,69.018,1.368409447
124,3.111975855,68.616,1.377430765
125,3.101281205,69.006,1.358248618
126,3.098687141,69.444,1.335395008
127,3.086387019,69.53,1.318071105
128,3.08231449,69.298,1.363835809
129,3.073858473,69.848,1.316761888
130,3.057805121,69.784,1.333947117
131,3.061348916,69.69,1.326351904
132,3.050924512,69.908,1.291480609
133,3.043862413,70.498,1.278417263
134,3.030244673,70.192,1.274500333
135,3.028446546,70.45,1.286595621
136,3.016958325,70.402,1.284426152
137,3.006965255,70.558,1.260585211
138,2.997835819,70.778,1.272798764
139,2.994831018,71.17,1.238084742
140,2.987048346,70.804,1.263752813
141,2.978301551,71.148,1.252314693
142,2.9672568,71.21,1.25364636
143,2.958426332,71.454,1.258833739
144,2.950999603,71.696,1.243003561
145,2.944535853,71.632,1.244864401
146,2.930828683,71.734,1.242259316
147,2.921613799,71.908,1.223434011
148,2.913994872,72.036,1.229243754
149,2.900844153,71.872,1.245752972
150,2.899892799,72.38,1.177581803
151,2.88898966,72.478,1.184678917
152,2.873509391,72.572,1.189226972
153,2.859542813,72.622,1.167613031
154,2.851850677,73.008,1.193608958
155,2.83916221,72.82,1.201817383
156,2.829689867,73.09,1.161707191
157,2.825594108,73.186,1.196461636
158,2.822820973,73.267,1.169266567
159,2.807621811,73.842,1.135431233
160,2.801862719,73.556,1.154419735
161,2.794313944,73.889,1.153935466
162,2.77945388,73.862,1.13929537
163,2.766506858,74.456,1.097130471
164,2.761932498,74.201,1.138939219
165,2.750981088,74.602,1.113432133
166,2.740532508,74.59,1.104748484
167,2.735838375,75.009,1.11155035
168,2.72285945,75.208,1.070596619
169,2.717624171,75.252,1.075687242
170,2.700280933,75.359,1.076561378
171,2.691674565,75.334,1.083179108
172,2.674849756,75.618,1.06230445
173,2.666126273,75.816,1.049759371
174,2.664016671,76.078,1.071536924
175,2.656651807,75.831,1.075717474
176,2.641316794,76.249,1.038318663
177,2.638430946,76.046,1.083731903
178,2.619326358,76.066,1.056704501
179,2.620800468,76.438,1.060644285
180,2.617345159,76.324,1.083832711
181,2.604527249,76.726,1.027323985
182,2.596139639,76.751,1.045183246
183,2.587492013,76.853,1.029128275
184,2.582066463,76.752,1.016143512
185,2.573963143,77.093,1.016208475
186,2.572031659,77.135,1.038550011
187,2.569111907,77.018,1.029298853
188,2.569504024,77.18,1.034204789
189,2.557706654,77.262,1.029651077
190,2.551182319,77.374,0.993486674
191,2.556463406,77.329,1.011492607
192,2.546015609,77.401,0.997370721
193,2.547691312,77.477,1.008324223
194,2.547171138,77.596,1.016223587
195,2.538469409,77.782,1.002770528
196,2.540278583,77.371,0.99270861
197,2.538677958,77.509,1.01732165
198,2.534495167,77.498,1.020714799
199,2.534941418,77.493,1.016151517
