Step,train_loss,val_acc1,val_loss
207,1.106148621,94.98,0.343736328
208,1.105701943,95.31,0.341644727
209,1.122005851,95.02,0.3143375
210,1.11261071,94.89,0.363292969
211,1.130960492,95.24,0.3515125
212,1.137175474,95.2,0.373542188
213,1.116794344,95,0.356317188
214,1.11889974,94.93,0.348045703
215,1.132081122,95.26,0.355048438
216,1.118230784,94.9,0.35207168
217,1.138182665,94.89,0.381341016
218,1.123558259,95.08,0.360607813
219,1.094270445,95.01,0.3219
220,1.111278804,95.17,0.359567578
221,1.133458008,95.3,0.36560625
222,1.131028298,95.3,0.428504297
223,1.169620197,95.42,0.344842188
224,1.107383246,95.4,0.325851563
225,1.108140434,95.3,0.339346094
226,1.103166297,95.41,0.343355859
227,1.108916296,95.5,0.349081641
228,1.120947045,95.31,0.343097266
229,1.152726022,95.33,0.354813281
230,1.100571614,95.24,0.349039844
231,1.118005485,95.53,0.395920313
232,1.090127397,95.12,0.318778125
233,1.095811253,95.55,0.348676172
234,1.085413337,95.01,0.341432031
235,1.104870587,95.38,0.327195703
236,1.1069138,95.45,0.364792188
237,1.129288002,95.37,0.336640234
238,1.1075387,95.36,0.342692578
239,1.08031032,95.29,0.34061582
240,1.091054155,95.25,0.355939844
241,1.083392941,95.38,0.328035547
242,1.09227889,95.71,0.333755859
243,1.099766816,95.27,0.315782031
244,1.070600797,95.6,0.370585547
245,1.086730692,95.33,0.339830078
246,1.081358212,95.36,0.306671484
247,1.097092952,95.6,0.343686719
248,1.091641363,95.69,0.326839063
249,1.119638773,95.53,0.354673828
250,1.093008659,95.44,0.358182813
251,1.113753898,95.47,0.324327734
252,1.090301206,95.48,0.303095703
253,1.116569363,95.63,0.34863125
254,1.077513089,95.68,0.302928516
255,1.071825668,95.37,0.345985938
256,1.065559627,95.29,0.343992578
257,1.062663213,95.59,0.333348828
258,1.077709171,95.64,0.322323438
259,1.079131569,95.51,0.364241016
260,1.082029409,95.72,0.317006641
261,1.087298687,95.45,0.354655078
262,1.059577255,95.69,0.305808203
263,1.114623908,95.92,0.323383203
264,1.0875572,95.91,0.336884375
265,1.082651032,95.84,0.341538672
266,1.091115047,95.74,0.354859766
267,1.078506644,95.78,0.373352734
268,1.080483685,95.87,0.347999609
269,1.086982783,95.92,0.299464453
270,1.045908342,95.62,0.360046875
271,1.068571641,95.85,0.347130859
272,1.078863654,95.52,0.365919531
273,1.090664124,95.76,0.318136328
274,1.053983395,95.71,0.331180078
275,1.050626395,95.82,0.281792578
276,1.115934259,95.88,0.327427539
277,1.068735553,95.78,0.323499219
278,1.094364929,95.87,0.332013281
279,1.061105064,96.02,0.303004688
280,1.067461038,95.99,0.332183203
281,1.074397146,95.99,0.373394531
282,1.053258189,95.77,0.324757031
283,1.081157831,96.33,0.316046094
284,1.059318421,95.99,0.307037891
285,1.07507914,96.33,0.332680469
286,1.062684719,95.84,0.347104688
287,1.079087567,96.12,0.344210156
288,1.052554273,96.07,0.288057031
289,1.069586783,96.14,0.344753516
290,1.084507873,96.04,0.380724609
291,1.069990826,96.02,0.339151172
292,1.030806623,95.98,0.327022266
293,1.022830908,96.19,0.301831641
294,1.055209413,96.2,0.322646875
295,1.041889286,96.2,0.349811719
296,1.042808941,96.26,0.295309375
297,1.07306604,96.04,0.322485547
298,1.039472729,96.17,0.309296094
299,1.055201962,96.1,0.356133203
300,1.065749374,96.09,0.317216797
301,1.035000909,96.34,0.279671875
302,1.059668833,96.11,0.320992969
303,1.038598846,96.03,0.298584375
304,1.042268004,96.15,0.320268359
305,1.068793692,96,0.323092188
306,1.06360831,96.09,0.290723828
307,1.058441981,96.06,0.318763672
308,1.059988303,96.21,0.337576172
309,1.088576646,96.29,0.298219922
310,1.068370813,95.93,0.31140625
311,1.053851649,96.39,0.318949219
312,1.004090203,96.32,0.288044141
313,1.045305213,96.51,0.298484375
314,1.037956881,96.29,0.336444922
315,1.059594787,96.23,0.344384766
316,1.05357203,96.45,0.309021875
317,1.047909102,96.28,0.292112891
318,1.048610525,96.39,0.350266797
319,1.040189743,96.12,0.302242188
320,1.040321488,96.52,0.301841797
321,1.03560642,96.37,0.314459375
322,1.040539048,96.25,0.326796875
323,1.052025651,96.63,0.311173047
324,1.040144911,96.55,0.350460156
325,1.048122957,96.54,0.327661719
326,1.056149998,96.58,0.324684766
327,1.065014985,96.48,0.35766875
328,1.057866923,96.66,0.320285938
329,1.045053748,96.43,0.313322266
330,1.036115077,96.42,0.326483594
331,1.029271069,96.61,0.341124609
332,1.021755981,96.58,0.319551953
333,1.017839276,96.48,0.294246094
334,1.020986638,96.62,0.295147656
335,1.021012866,96.62,0.318939453
336,1.042051853,96.41,0.316605078
337,1.031864971,96.51,0.295003516
338,1.008449082,96.51,0.317937891
339,1.048656544,96.51,0.317984766
340,1.050559161,96.7,0.352207031
341,1.025864185,96.81,0.300751172
342,0.98635496,96.66,0.300655469
343,1.048221635,96.51,0.294052734
344,1.017110108,96.55,0.340348828
345,0.986647694,96.49,0.334958984
346,1.019277406,96.64,0.288421484
347,1.032604634,96.51,0.324886719
348,1.030417712,96.59,0.296762891
349,0.992890857,96.64,0.322278906
350,1.018801667,96.72,0.295343359
351,1.022088954,96.47,0.373945703
352,1.007723716,96.77,0.326905859
353,1.016824367,96.81,0.333203516
354,1.026098843,96.68,0.263490625
355,1.022596693,96.63,0.316239453
356,1.039591065,96.63,0.3561875
357,1.041180986,96.73,0.345115625
358,1.040287092,96.83,0.309613672
359,1.024037567,96.69,0.313074609
360,1.027935217,96.69,0.333060547
361,1.022983253,96.74,0.297646094
362,0.994224423,96.67,0.341573828
363,0.993504217,96.69,0.32180625
364,1.018111699,96.82,0.311352344
365,1.013646371,96.6,0.299447266
366,1.032351162,96.66,0.289814453
367,1.01058955,96.76,0.328713281
368,1.023098879,96.85,0.336409375
369,1.000094164,96.75,0.307890234
370,1.006485442,96.59,0.330757422
371,1.010277049,96.9,0.332822656
372,1.037004331,96.77,0.353468359
373,1.018742407,96.8,0.3010125
374,1.038681247,96.75,0.310728516
375,1.011916531,96.7,0.268455078
376,1.015880747,96.69,0.351956641
377,0.96909178,96.79,0.286792188
378,1.009966797,96.8,0.334100781
379,1.014970153,96.9,0.320847266
380,1.003998671,96.84,0.305609375
381,1.041945205,96.83,0.347816016
382,1.001411283,96.89,0.326272656
383,0.988681335,96.94,0.274373828
384,1.039547506,96.73,0.336498438
385,1.041138911,96.78,0.338655078
386,1.010407981,96.78,0.310323047
387,1.027013964,96.94,0.283369531
388,0.980100296,96.68,0.303766406
389,1.029496764,96.86,0.322245313
390,1.009982154,96.73,0.314507031
391,0.994827594,96.89,0.301765625
392,1.027855856,96.65,0.353273438
393,1.010815929,96.81,0.343719141
394,1.01066588,96.89,0.297855078
395,1.029375541,96.68,0.349966406
396,1.0062103,96.72,0.354757031
397,1.035790347,96.92,0.324031641
398,1.0220717,96.68,0.290585547
399,1.041280922,96.85,0.352880078
400,1.003898446,96.71,0.307341406
401,1.00951954,96.63,0.320761328
402,1.03390064,96.73,0.317889063
403,1.015591121,96.73,0.318584766
404,1.020263675,96.89,0.318602344
405,1.018766138,96.84,0.287957813
406,1.031949782,96.87,0.297875781
407,1.019146339,97.04,0.284958594
408,1.01463953,96.91,0.286543359
409,1.008452887,96.79,0.320916797
