Step,train_loss,val_acc1,val_loss
0,4.55835382,4.18,4.4242625
1,4.355163961,11.57,3.928034375
2,4.183763591,14.97,3.687153125
3,4.062846015,20.58,3.375840625
4,3.935607798,25.14,3.130925
5,3.814289798,29.69,2.888440625
6,3.711994451,35.47,2.640390625
7,3.617482188,38.42,2.509021875
8,3.553799091,40.94,2.33576875
9,3.46955237,43.78,2.20473125
10,3.398992861,45.93,2.15925
11,3.32696444,46.64,2.1080625
12,3.29362049,45.45,2.171025
13,3.259204866,53.25,1.862470313
14,3.220352611,55.17,1.763675
15,3.159928276,57.19,1.7219125
16,3.160914127,57.79,1.69140625
17,3.116574176,56.63,1.760254688
18,3.114303523,61.02,1.577160938
19,3.081350374,57.8,1.732725
20,3.036700763,59.65,1.638615625
21,3.050899291,60.63,1.66165
22,2.999356053,60.02,1.679851563
23,2.978853039,61.98,1.593414063
24,2.938637496,63.36,1.507421875
25,2.98209466,62.3,1.558126563
26,2.932957382,65.14,1.442134375
27,2.878287163,64.11,1.5284875
28,2.903783187,65.04,1.470665625
29,2.881722335,66.13,1.407875
30,2.832318609,67.36,1.37504375
31,2.862922557,65.53,1.426989063
32,2.842436532,67.23,1.371607813
33,2.82864689,68.39,1.33735625
34,2.829067392,66.92,1.43675625
35,2.807403046,67.12,1.389701563
36,2.806160287,69.01,1.336110938
37,2.816020606,67.95,1.31565
38,2.815772259,68.45,1.333871875
39,2.793794489,68.03,1.33363125
40,2.775673568,68.42,1.350251563
41,2.731746298,69.09,1.363865625
42,2.790354223,69.74,1.306089063
43,2.73147799,69.86,1.284201563
44,2.753408636,70.41,1.266182813
45,2.705792046,70.26,1.275590625
46,2.750039781,69.33,1.347684375
47,2.743955539,71.19,1.237784375
48,2.715855919,71.14,1.306945313
49,2.704148173,70.58,1.29393125
50,2.710557179,70.75,1.254904688
51,2.709536984,71.63,1.197717188
52,2.706583624,71.46,1.219020313
53,2.734763937,71.15,1.232109375
54,2.752776897,70.28,1.308885938
55,2.702288694,71.03,1.239979688
56,2.672258191,72.34,1.223698438
57,2.646959992,71.47,1.184759375
58,2.690436861,70.89,1.268235938
59,2.697852615,70.72,1.303909375
60,2.697351587,71.57,1.253382813
61,2.694034178,71.31,1.267953125
62,2.712171396,72.27,1.234242188
63,2.648395977,71.53,1.221225
64,2.696751903,72.33,1.220790625
65,2.655545647,72.02,1.22009375
66,2.630216157,71.8,1.195276563
67,2.613081501,71.72,1.228851563
68,2.626183117,72.64,1.223839063
69,2.609032152,72.2,1.225759375
70,2.623271463,72.15,1.17715625
71,2.652026814,72.16,1.255221875
72,2.68293746,72.85,1.205960938
73,2.605302864,73.08,1.177423438
74,2.63533466,72.33,1.2547
75,2.577842131,73.59,1.139957813
76,2.58810464,72.52,1.217496875
77,2.615479502,72.61,1.221059375
78,2.661086724,72.93,1.21156875
79,2.645942172,72.44,1.25669375
80,2.599127276,73.27,1.16674375
81,2.634908346,73.95,1.158339063
82,2.643042607,72.14,1.195984375
83,2.635708373,73.29,1.176004688
84,2.606642222,72.29,1.2116
85,2.577428271,72.9,1.186489063
86,2.617139214,73.54,1.19194375
87,2.561625465,73.48,1.152955469
88,2.597020216,73.16,1.191676563
89,2.630403077,73.25,1.188529688
90,2.597729168,73.54,1.152573438
91,2.582381752,72.51,1.184861719
92,2.565786557,73.38,1.148478125
93,2.555908001,73.35,1.235642188
94,2.569338588,73.8,1.199617188
95,2.53780428,73.19,1.194371875
96,2.54266133,73.07,1.170528125
97,2.57331721,73.27,1.17825625
98,2.581294562,74.48,1.134709375
99,2.601609913,73.84,1.170835938
100,2.54572869,73.85,1.143864063
101,2.568184344,74.56,1.16994375
102,2.535901502,74.15,1.078889063
103,2.546122667,74.19,1.16450625
104,2.54367338,74.85,1.11665625
105,2.584909484,74.27,1.156298438
106,2.544767512,71.87,1.238703125
107,2.512653966,74.11,1.1630375
108,2.567527535,74.58,1.128348438
109,2.530488222,73.71,1.195067188
110,2.508055882,74.3,1.131878125
111,2.546249675,74.58,1.132589063
112,2.535708534,74.28,1.158525
113,2.515803529,74.17,1.15178125
114,2.54652058,73.88,1.154504688
115,2.541653222,74.44,1.165154688
116,2.486684418,74.24,1.126735938
117,2.516396849,74.29,1.149665625
118,2.528329464,74.68,1.1003875
119,2.556714546,72.93,1.213117188
120,2.494037932,74.11,1.201614063
121,2.521530624,74.77,1.145051563
122,2.516726599,74.53,1.172457813
123,2.517177702,75.34,1.084192188
124,2.52369623,74.56,1.152092188
125,2.490586868,73.76,1.213975
126,2.519544467,74.7,1.107067188
127,2.503062801,75.04,1.178542188
128,2.491447843,74.43,1.085632813
129,2.500571702,75.28,1.096779688
130,2.481595285,74.59,1.114035938
131,2.483993378,75.69,1.084551563
132,2.543618923,74.97,1.127239063
133,2.474217352,74.91,1.103228125
134,2.506225743,75.75,1.086359375
135,2.435357056,74.53,1.173165625
136,2.478432989,75.24,1.094629688
137,2.476991638,74.94,1.110307813
138,2.502577749,75.45,1.16735
139,2.496282604,75.3,1.085667188
140,2.467412646,74.57,1.141554688
141,2.471186781,75.45,1.127840625
142,2.455125269,75.15,1.146095313
143,2.474211705,75.79,1.070078125
144,2.481449167,75.46,1.096117188
145,2.451957648,74.54,1.1281
146,2.461802379,75.47,1.081853125
147,2.444722284,75.34,1.11570625
148,2.442893824,75.17,1.13651875
149,2.47589951,74.77,1.136092188
150,2.457599603,75.24,1.102432813
151,2.439112988,75.31,1.12543125
152,2.44454476,74.97,1.118510938
153,2.488058561,75.97,1.11529375
154,2.429430513,75.32,1.06024375
155,2.420440002,75.1,1.12136875
156,2.412427528,76.01,1.139648438
157,2.413453788,76.12,1.066657813
158,2.442597121,75.88,1.123428125
159,2.443210968,76.2,1.109623438
160,2.442420696,76.29,1.077098438
161,2.457244195,75.97,1.052205469
162,2.423173129,76.46,1.11449375
163,2.441399032,75.73,1.063110938
164,2.449395262,74.87,1.15571875
165,2.394841472,75.66,1.078039063
166,2.40686751,75.97,1.091634375
167,2.389588516,76.16,1.053557813
168,2.411543798,76.01,1.063154688
169,2.433953835,75.06,1.138390625
170,2.414557825,75.74,1.092754688
171,2.432458772,76.38,1.056545313
172,2.431168296,76.47,1.080235938
173,2.433577886,76.77,1.025232813
174,2.423672343,76.72,1.038064844
175,2.400638352,75.63,1.0973625
176,2.361513664,76.49,1.070089063
177,2.386249311,76.57,1.065590625
178,2.412625031,76.41,1.1391625
179,2.401963378,76.86,1.032430469
180,2.392314267,76.32,1.085548438
181,2.392622527,77.05,1.007895313
182,2.383747708,76.57,1.1026875
183,2.362100523,77.23,1.020439063
184,2.36987997,76.28,1.09145625
185,2.387870774,76.89,1.080528125
186,2.37797644,76.73,1.05433125
187,2.357327022,76.26,1.08788125
188,2.399706735,76.51,1.067492188
189,2.365839582,76.71,1.053625
190,2.382757755,77.32,1.020803125
191,2.378246138,75.79,1.13314375
192,2.355211346,76.76,1.029667969
193,2.342157945,77.11,1.076664063
194,2.377329018,77.58,1.056810938
195,2.383778079,76.87,1.038429688
196,2.359369719,77.28,1.087526563
197,2.371498167,77.02,1.071260938
198,2.323325918,76.73,1.083576563
199,2.377982924,76.89,1.07151875
200,2.357630705,77.47,1.048970313
201,2.327364957,76.62,1.127883594
202,2.342617736,77.24,1.101285938
203,2.332310581,77.17,1.043723438
204,2.351103413,76.92,1.071465625
205,2.336883718,76.76,1.043689063
206,2.320068233,77.5,1.02563125
207,2.344256058,77.84,1.030204688
208,2.331323597,77.19,1.008123438
209,2.347890785,77.81,1.062457813
210,2.361322272,77.89,1.030367188
211,2.330020558,76.88,1.055836719
212,2.319278455,77.97,0.987
213,2.33281745,77.92,0.993114063
214,2.300871323,77.58,1.01579375
215,2.295166985,77.11,1.037032813
216,2.311445066,77.52,1.080496875
217,2.307627265,77.58,1.008076563
218,2.338186681,77.82,1.029707813
219,2.304840579,77.88,1.008591406
220,2.25034231,78.39,1.003591406
221,2.297359564,77.36,1.05371875
222,2.315420228,76.93,1.057645313
223,2.285234127,77.57,1.021384375
224,2.252722564,78.31,0.979225
225,2.302799375,77.74,1.054696875
226,2.251097324,77.01,1.0938
227,2.300355738,77.35,1.0702875
228,2.274728833,77.21,1.045403125
229,2.325741952,77.53,1.017545313
230,2.276079553,78.61,1.030917188
231,2.298680211,77.43,1.049229688
232,2.254809166,78.69,0.9906375
233,2.255742692,78.25,1.043939063
234,2.235055106,78.19,1.026946875
235,2.244484179,78.53,0.97640625
236,2.217493392,77.75,1.081104688
237,2.242623105,78.56,1.03014375
